ds,year,week,month,quarter,gdp_growth,cpi,gas_price,total_new_vehicle_sales,bev_penetration_rate,new_ice_and_hybrid_sales,total_ice_and_hybrid_on_road,weather_impact_score,logistics_risk_score
2022-01-03,2022,1,1,1,3.3,2.295161290322581,22452.0,36399,0.016384444444444445,35803,4000000,0,5
2022-01-10,2022,2,1,1,3.3,2.453225806451613,22232.285714285714,36799,0.01668,36185,4004263,0,0
2022-01-17,2022,3,1,1,3.3,2.611290322580645,22064.428571428572,37199,0.016975555555555553,36568,4008610,0,0
2022-01-24,2022,4,1,1,3.3,2.7693548387096776,21994.428571428572,37599,0.01727111111111111,36950,4013040,0,0
2022-01-31,2022,5,1,1,3.3,2.92741935483871,22290.714285714286,37999,0.017566666666666664,37331,4017555,0,3
2022-02-07,2022,6,2,1,3.3,3.097857142857143,22523.285714285714,38665,0.01786222222222222,37975,4022153,0,0
2022-02-14,2022,7,2,1,3.3,3.270357142857143,22178.14285714286,39376,0.018157777777777776,38661,4026895,0,0
2022-02-21,2022,8,2,1,3.3,3.442857142857143,21824.14285714286,40087,0.018453333333333332,39348,4031790,0,0
2022-02-28,2022,9,2,1,3.3,3.615357142857143,21937.428571428572,40798,0.018748888888888888,40034,4036840,0,0
2022-03-07,2022,10,3,1,3.3,3.7193548387096773,21860.0,40489,0.019044444444444444,39718,4042042,0,0
2022-03-14,2022,11,3,1,3.3,3.811935483870968,22118.571428571428,40010,0.01934,39236,4047167,0,0
2022-03-21,2022,12,3,1,3.3,3.904516129032258,22258.571428571428,39531,0.019635555555555555,38755,4052175,0,0
2022-03-28,2022,13,3,1,3.3,3.9970967741935484,22021.85714285714,39052,0.01993111111111111,38273,4057066,0,0
2022-04-04,2022,14,4,2,5.9,4.103,21908.14285714286,38611,0.020278021978021976,37828,4061842,0,0
2022-04-11,2022,15,4,2,5.9,4.226666666666667,21906.428571428572,38220,0.020693406593406592,37429,4066511,0,1
2022-04-18,2022,16,4,2,5.9,4.350333333333333,21807.0,37830,0.02110879120879121,37031,4071082,1,3
2022-04-25,2022,17,4,2,5.9,4.474,21784.85714285714,37440,0.021524175824175824,36634,4075558,0,0
2022-05-02,2022,18,5,2,5.9,4.5683870967741935,21705.428571428572,36955,0.02193956043956044,36144,4079937,0,0
2022-05-09,2022,19,5,2,5.9,4.487096774193549,21818.428571428572,35904,0.022354945054945053,35101,4084198,0,0
2022-05-16,2022,20,5,2,5.9,4.405806451612903,22072.85714285714,34853,0.02277032967032967,34059,4088215,0,0
2022-05-23,2022,21,5,2,5.9,4.324516129032258,22622.0,33802,0.023185714285714285,33018,4091987,0,0
2022-05-30,2022,22,5,2,5.9,4.243225806451613,23178.0,32751,0.0236010989010989,31978,4095515,0,0
2022-06-06,2022,23,6,2,5.9,4.1466666666666665,23515.85714285714,31660,0.024016483516483514,30900,4098800,0,3
2022-06-13,2022,24,6,2,5.9,4.044,23229.571428571428,30554,0.02443186813186813,29807,4101832,2,0
2022-06-20,2022,25,6,2,5.9,3.941333333333333,23339.571428571428,29447,0.024847252747252746,28715,4104610,0,0
2022-06-27,2022,26,6,2,5.9,3.8386666666666667,23408.571428571428,28340,0.025262637362637362,27624,4107132,0,1
2022-07-04,2022,27,7,3,7.7,3.711290322580645,23583.0,27254,0.025731521739130434,26553,4109400,0,0
2022-07-11,2022,28,7,3,7.7,3.5509677419354837,24093.428571428572,26196,0.02627173913043478,25508,4111419,0,0
2022-07-18,2022,29,7,3,7.7,3.3906451612903226,24092.0,25138,0.02681195652173913,24464,4113194,1,0
2022-07-25,2022,30,7,3,7.7,3.2303225806451614,23968.714285714286,24079,0.027352173913043475,23421,4114727,0,0
2022-08-01,2022,31,8,3,7.7,3.07,24165.714285714286,23021,0.027892391304347824,22379,4116018,0,0
2022-08-08,2022,32,8,3,7.7,2.8916129032258064,24303.85714285714,23564,0.028432608695652173,22894,4117066,0,0
2022-08-15,2022,33,8,3,7.7,2.7132258064516126,24236.85714285714,24108,0.02897282608695652,23409,4118233,0,0
2022-08-22,2022,34,8,3,7.7,2.534838709677419,24496.428571428572,24651,0.029513043478260868,23923,4119517,0,0
2022-08-29,2022,35,8,3,7.7,2.356451612903226,24488.285714285714,25194,0.030053260869565213,24437,4120919,0,0
2022-09-05,2022,36,9,3,7.7,2.1999999999999997,24298.714285714286,25599,0.030593478260869562,24816,4122438,2,0
2022-09-12,2022,37,9,3,7.7,2.06,24520.85714285714,25900,0.031133695652173908,25094,4124042,0,0
2022-09-19,2022,38,9,3,7.7,1.92,24527.714285714286,26201,0.03167391304347826,25371,4125710,0,0
2022-09-26,2022,39,9,3,7.7,1.7799999999999998,24260.85714285714,26502,0.032214130434782606,25648,4127439,0,0
2022-10-03,2022,40,10,4,8.0,1.6729032258064516,24222.571428571428,26648,0.03280217391304348,25774,4129231,0,4
2022-10-10,2022,41,10,4,8.0,1.6480645161290322,24327.714285714286,26407,0.03350978260869565,25522,4131050,0,0
2022-10-17,2022,42,10,4,8.0,1.623225806451613,24015.714285714286,26166,0.034217391304347824,25270,4132809,0,0
2022-10-24,2022,43,10,4,8.0,1.5983870967741935,23815.0,25925,0.034925,25019,4134508,0,0
2022-10-31,2022,44,10,4,8.0,1.5735483870967744,23865.0,25683,0.03563260869565217,24768,4136148,0,0
2022-11-07,2022,45,11,4,8.0,1.606,24155.14285714286,25886,0.036340217391304344,24945,4137728,1,0
2022-11-14,2022,46,11,4,8.0,1.6480000000000001,23860.14285714286,26162,0.03704782608695652,25193,4139347,0,0
2022-11-21,2022,47,11,4,8.0,1.69,23615.85714285714,26439,0.03775543478260869,25441,4141022,0,0
2022-11-28,2022,48,11,4,8.0,1.732,23423.14285714286,26716,0.03846304347826087,25688,4142753,0,0
2022-12-05,2022,49,12,4,8.0,1.822258064516129,23453.0,27678,0.039170652173913044,26594,4144538,0,0
2022-12-12,2022,50,12,4,8.0,1.9487096774193549,23257.428571428572,29154,0.03987826086956522,27992,4146531,0,0
2022-12-19,2022,51,12,4,8.0,2.0751612903225807,23154.428571428572,30631,0.04058586956521739,29388,4148845,0,3
2022-12-26,2022,52,12,4,8.0,2.2016129032258065,22984.428571428572,32107,0.041293478260869564,30782,4151478,0,0
2023-01-02,2023,1,1,1,3.5,2.326774193548387,23074.0,33534,0.042028888888888886,32124,4154431,0,0
2023-01-09,2023,2,1,1,3.5,2.444193548387097,22980.0,34657,0.042931111111111114,33169,4157690,1,0
2023-01-16,2023,3,1,1,3.5,2.5616129032258064,22634.85714285714,35781,0.043833333333333335,34212,4161188,0,3
2023-01-23,2023,4,1,1,3.5,2.6790322580645163,22344.428571428572,36904,0.044735555555555556,35253,4164922,0,7
2023-01-30,2023,5,1,1,3.5,2.7964516129032257,22159.714285714286,38028,0.04563777777777778,36292,4168893,2,0
2023-02-06,2023,6,2,1,3.5,2.987142857142857,21933.85714285714,39063,0.04654,37245,4173100,0,0
2023-02-13,2023,7,2,1,3.5,3.2071428571428573,21758.0,40063,0.04744222222222222,38162,4177523,0,0
2023-02-20,2023,8,2,1,3.5,3.427142857142857,21762.285714285714,41063,0.04834444444444444,39077,4182152,0,0
2023-02-27,2023,9,2,1,3.5,3.6471428571428572,21696.714285714286,42062,0.04924666666666667,39991,4186989,0,0
2023-03-06,2023,10,3,1,3.5,3.7938709677419356,21866.285714285714,41923,0.05014888888888889,39821,4192031,0,0
2023-03-13,2023,11,3,1,3.5,3.9112903225806455,22054.14285714286,41328,0.05105111111111111,39219,4197029,0,0
2023-03-20,2023,12,3,1,3.5,4.028709677419355,22106.428571428572,40734,0.05195333333333333,38617,4201883,1,0
2023-03-27,2023,13,3,1,3.5,4.146129032258065,22222.85714285714,40139,0.05285555555555556,38017,4206594,2,7
2023-04-03,2023,14,4,2,4.1,4.267333333333334,22548.571428571428,39562,0.05381428571428571,37433,4211161,0,0
2023-04-10,2023,15,4,2,4.1,4.398000000000001,22860.571428571428,39030,0.054914285714285714,36886,4215589,0,0
2023-04-17,2023,16,4,2,4.1,4.528666666666667,23399.85714285714,38497,0.05601428571428571,36341,4219886,0,0
2023-04-24,2023,17,4,2,4.1,4.6593333333333335,23879.428571428572,37965,0.057114285714285715,35797,4224053,0,0
2023-05-01,2023,18,5,2,4.1,4.79,24225.14285714286,37433,0.05821428571428571,35254,4228091,0,0
2023-05-08,2023,19,5,2,4.1,4.663548387096775,24532.14285714286,36867,0.059314285714285715,34680,4231999,0,0
2023-05-15,2023,20,5,2,4.1,4.537096774193548,24980.285714285714,36301,0.06041428571428571,34108,4235771,0,0
2023-05-22,2023,21,5,2,4.1,4.410645161290323,25234.85714285714,35735,0.061514285714285716,33537,4239406,0,0
2023-05-29,2023,22,5,2,4.1,4.284193548387097,25493.571428571428,35170,0.06261428571428572,32967,4242907,0,0
2023-06-05,2023,23,6,2,4.1,4.183333333333334,26016.285714285714,34024,0.06371428571428571,31856,4246272,1,0
2023-06-12,2023,24,6,2,4.1,4.101666666666667,26422.428571428572,32445,0.06481428571428571,30342,4249378,0,0
2023-06-19,2023,25,6,2,4.1,4.0200000000000005,26749.571428571428,30865,0.06591428571428572,28831,4252131,0,0
2023-06-26,2023,26,6,2,4.1,3.9383333333333335,26669.85714285714,29285,0.06701428571428572,27323,4254533,0,0
2023-07-03,2023,27,7,3,5.3,3.812258064516129,26556.285714285714,28000,0.0681804347826087,26091,4256584,5,0
2023-07-10,2023,28,7,3,5.3,3.5751612903225807,26681.285714285714,27450,0.06951195652173912,25542,4258349,0,0
2023-07-17,2023,29,7,3,5.3,3.338064516129032,26850.714285714286,26900,0.07084347826086956,24995,4259985,0,0
2023-07-24,2023,30,7,3,5.3,3.100967741935484,27079.714285714286,26350,0.072175,24449,4261494,0,0
2023-07-31,2023,31,7,3,5.3,2.863870967741936,27170.85714285714,25801,0.07350652173913043,23904,4262875,0,0
2023-08-07,2023,32,8,3,5.3,2.71,27434.85714285714,25375,0.07483804347826087,23476,4264129,0,0
2023-08-14,2023,33,8,3,5.3,2.57,27483.714285714286,24971,0.07616956521739131,23069,4265283,1,0
2023-08-21,2023,34,8,3,5.3,2.43,27331.85714285714,24567,0.07750108695652173,22663,4266341,0,0
2023-08-28,2023,35,8,3,5.3,2.29,27350.428571428572,24162,0.07883260869565217,22257,4267305,0,0
2023-09-04,2023,36,9,3,5.3,2.145,27202.14285714286,24204,0.08016413043478261,22264,4268175,0,0
2023-09-11,2023,37,9,3,5.3,1.9933333333333334,27132.285714285714,24842,0.08149565217391304,22818,4269045,0,9
2023-09-18,2023,38,9,3,5.3,1.8416666666666668,26958.428571428572,25480,0.08282717391304348,23370,4270042,0,0
2023-09-25,2023,39,9,3,5.3,1.69,27041.571428571428,26118,0.08415869565217392,23920,4271165,0,0
2023-10-02,2023,40,10,4,5.1,1.558709677419355,26852.714285714286,26693,0.08552826086956522,24410,4272415,0,0
2023-10-09,2023,41,10,4,5.1,1.5496774193548388,26939.14285714286,26892,0.08712608695652174,24549,4273776,0,0
2023-10-16,2023,42,10,4,5.1,1.5406451612903227,27249.0,27091,0.08872391304347826,24688,4275167,0,0
2023-10-23,2023,43,10,4,5.1,1.5316129032258066,27166.14285714286,27290,0.09032173913043479,24825,4276590,3,0
2023-10-30,2023,44,10,4,5.1,1.5225806451612904,27148.714285714286,27489,0.09191956521739131,24962,4278043,0,0
2023-11-06,2023,45,11,4,5.1,1.58,26877.428571428572,28301,0.09351739130434783,25654,4279526,0,0
2023-11-13,2023,46,11,4,5.1,1.664,26576.0,29358,0.09511521739130435,26565,4281167,0,0
2023-11-20,2023,47,11,4,5.1,1.748,26370.85714285714,30414,0.09671304347826087,27473,4283016,1,0
2023-11-27,2023,48,11,4,5.1,1.8319999999999999,26092.85714285714,31471,0.0983108695652174,28377,4285074,2,4
2023-12-04,2023,49,12,4,5.1,1.9070967741935483,26262.714285714286,32330,0.09990869565217392,29100,4287338,0,0
2023-12-11,2023,50,12,4,5.1,1.9703225806451612,25893.571428571428,32925,0.10150652173913044,29583,4289766,0,1
2023-12-18,2023,51,12,4,5.1,2.0335483870967743,25402.285714285714,33521,0.10310434782608696,30064,4292304,1,0
2023-12-25,2023,52,12,4,5.1,2.096774193548387,25089.428571428572,34116,0.10470217391304348,30544,4294950,0,0
2024-01-01,2024,1,1,1,5.0,2.16,24913.85714285714,34711,0.1063,31021,4297704,0,0
2024-01-08,2024,2,1,1,5.0,2.367741935483871,24602.285714285714,35606,0.10820769230769231,31753,4300566,0,1
2024-01-15,2024,3,1,1,5.0,2.575483870967742,24561.0,36500,0.11011538461538461,32481,4303593,0,0
2024-01-22,2024,4,1,1,5.0,2.783225806451613,24868.85714285714,37395,0.11202307692307692,33206,4306786,0,0
2024-01-29,2024,5,1,1,5.0,2.990967741935484,24866.428571428572,38290,0.11393076923076924,33927,4310143,0,0
2024-02-05,2024,6,2,1,5.0,3.183448275862069,24849.85714285714,38877,0.11583846153846154,34374,4313662,0,0
2024-02-12,2024,7,2,1,5.0,3.3644827586206896,24937.85714285714,39235,0.11774615384615385,34615,4317282,0,0
2024-02-19,2024,8,2,1,5.0,3.5455172413793106,24911.714285714286,39593,0.11965384615384615,34855,4320953,0,0
2024-02-26,2024,9,2,1,5.0,3.726551724137931,24721.285714285714,39951,0.12156153846153846,35094,4324676,0,0
2024-03-04,2024,10,3,1,5.0,3.881290322580645,24754.14285714286,40106,0.12346923076923076,35154,4328451,0,0
2024-03-11,2024,11,3,1,5.0,4.000967741935484,24699.14285714286,39990,0.12537692307692308,34976,4332235,0,0
2024-03-18,2024,12,3,1,5.0,4.120645161290323,24826.0,39875,0.12728461538461538,34799,4335975,0,0
2024-03-25,2024,13,3,1,5.0,4.240322580645161,24942.428571428572,39759,0.1291923076923077,34623,4339670,0,0
2024-04-01,2024,14,4,2,5.2,4.36,25001.571428571428,39644,0.1311,34447,4343321,0,0
2024-04-08,2024,15,4,2,5.2,4.388,25046.428571428572,39563,0.13333846153846154,34288,4346928,0,4
2024-04-15,2024,16,4,2,5.2,4.416,24978.714285714286,39482,0.13557692307692307,34129,4350494,0,0
2024-04-22,2024,17,4,2,5.2,4.444000000000001,24797.285714285714,39400,0.13781538461538462,33970,4354020,0,7
2024-04-29,2024,18,4,2,5.2,4.472,24929.571428571428,39319,0.14005384615384614,33812,4357506,0,2
2024-05-06,2024,19,5,2,5.2,4.447741935483871,24919.85714285714,38699,0.1422923076923077,33192,4360952,0,0
2024-05-13,2024,20,5,2,5.2,4.402580645161291,24868.428571428572,37863,0.14453076923076924,32391,4364251,0,0
2024-05-20,2024,21,5,2,5.2,4.35741935483871,25020.571428571428,37028,0.14676923076923076,31593,4367362,0,0
2024-05-27,2024,22,5,2,5.2,4.312258064516129,25135.714285714286,36192,0.1490076923076923,30799,4370286,0,0
2024-06-03,2024,23,6,2,5.2,4.245333333333334,25437.571428571428,35090,0.15124615384615386,29783,4373024,0,0
2024-06-10,2024,24,6,2,5.2,4.1240000000000006,25128.285714285714,33324,0.15348461538461539,28209,4375525,0,0
2024-06-17,2024,25,6,2,5.2,4.002666666666666,24966.0,31558,0.15572307692307694,26643,4377659,0,0
2024-06-24,2024,26,6,2,5.2,3.881333333333333,25369.714285714286,29791,0.15796153846153846,25085,4379430,0,0
2024-07-01,2024,27,7,3,5.5,3.76,25443.85714285714,28025,0.1602,23535,4380840,0,0
2024-07-08,2024,28,7,3,5.5,3.5929032258064515,25505.714285714286,28193,0.1627641304347826,23604,4381891,0,0
2024-07-15,2024,29,7,3,5.5,3.425806451612903,25796.571428571428,28361,0.16532826086956523,23672,4382957,2,0
2024-07-22,2024,30,7,3,5.5,3.258709677419355,26128.428571428572,28528,0.16789239130434783,23739,4384037,0,0
2024-07-29,2024,31,7,3,5.5,3.0916129032258066,25968.0,28696,0.17045652173913045,23805,4385132,0,0
2024-08-05,2024,32,8,3,5.5,2.923225806451613,25910.428571428572,28031,0.17302065217391305,23181,4386240,0,0
2024-08-12,2024,33,8,3,5.5,2.7538709677419355,25910.0,26742,0.17558478260869564,22046,4387204,0,0
2024-08-19,2024,34,8,3,5.5,2.584516129032258,25805.571428571428,25452,0.17814891304347827,20918,4387905,0,0
2024-08-26,2024,35,8,3,5.5,2.4151612903225805,25880.571428571428,24162,0.18071304347826087,19796,4388344,0,0
2024-09-02,2024,36,9,3,5.5,2.2536666666666667,25983.428571428572,23173,0.1832771739130435,18926,4388525,0,1
2024-09-09,2024,37,9,3,5.5,2.1393333333333335,25560.85714285714,23981,0.1858413043478261,19525,4388504,0,0
2024-09-16,2024,38,9,3,5.5,2.025,24966.85714285714,24790,0.18840543478260868,20119,4388622,2,0
2024-09-23,2024,39,9,3,5.5,1.9106666666666667,24748.14285714286,25599,0.1909695652173913,20710,4388876,0,0
2024-09-30,2024,40,9,3,5.5,1.7963333333333333,24711.571428571428,26407,0.1935336956521739,21297,4389267,0,0
2024-10-07,2024,41,10,4,5.8,1.7238709677419355,24827.428571428572,26841,0.19643695652173912,21569,4389793,0,0
2024-10-14,2024,42,10,4,5.8,1.6583870967741936,24862.428571428572,27213,0.19939673913043476,21787,4390381,0,9
2024-10-21,2024,43,10,4,5.8,1.5929032258064515,24729.714285714286,27584,0.20235652173913043,22002,4391019,0,1
2024-10-28,2024,44,10,4,5.8,1.5274193548387096,24610.285714285714,27956,0.20531630434782608,22216,4391705,0,0
2024-11-04,2024,45,11,4,5.8,1.517,24221.14285714286,28680,0.20827608695652172,22706,4392441,3,0
2024-11-11,2024,46,11,4,5.8,1.58,24231.14285714286,29873,0.2112358695652174,23563,4393289,0,0
2024-11-18,2024,47,11,4,5.8,1.643,24245.714285714286,31067,0.21419565217391304,24413,4394333,0,5
2024-11-25,2024,48,11,4,5.8,1.706,23938.428571428572,32261,0.21715543478260868,25255,4395573,0,0
2024-12-02,2024,49,12,4,5.8,1.7767741935483872,23825.571428571428,33367,0.22011521739130435,26023,4397006,0,0
2024-12-09,2024,50,12,4,5.8,1.8941935483870966,23710.285714285714,33951,0.223075,26377,4398615,2,0
2024-12-16,2024,51,12,4,5.8,2.0116129032258065,23378.571428571428,34534,0.22603478260869564,26728,4400304,0,0
2024-12-23,2024,52,12,4,5.8,2.129032258064516,22889.0,35118,0.2289945652173913,27076,4402072,0,0
2024-12-30,2025,1,12,4,5.8,2.2464516129032255,22540.85714285714,35701,0.23195434782608695,27420,4403919,2,0
2025-01-06,2025,2,1,1,5.6,2.3783870967741936,22544.85714285714,36820,0.23526666666666668,28157,4405843,0,0
2025-01-13,2025,3,1,1,5.6,2.5161290322580645,22443.14285714286,38152,0.23872000000000002,29044,4407935,0,0
2025-01-20,2025,4,1,1,5.6,2.6538709677419354,22291.85714285714,39484,0.24217333333333335,29922,4410230,0,0
2025-01-27,2025,5,1,1,5.6,2.7916129032258064,22360.285714285714,40816,0.24562666666666666,30791,4412726,0,3
2025-02-03,2025,6,2,1,5.6,2.9450000000000003,22415.14285714286,41879,0.24908,31447,4415419,0,0
2025-02-10,2025,7,2,1,5.6,3.1375,22145.285714285714,42266,0.25253333333333333,31592,4418261,0,0
2025-02-17,2025,8,2,1,5.6,3.33,21989.285714285714,42653,0.2559866666666667,31734,4421134,0,9
2025-02-24,2025,9,2,1,5.6,3.5225,21807.14285714286,43040,0.25944,31873,4424037,0,0
2025-03-03,2025,10,3,1,5.6,3.705161290322581,21749.428571428572,43289,0.2628933333333333,31908,4426969,0,0
2025-03-10,2025,11,3,1,5.6,3.863225806451613,21570.14285714286,43192,0.2663466666666667,31688,4429906,0,3
2025-03-17,2025,12,3,1,5.6,4.021290322580645,21587.428571428572,43096,0.2698,31469,4432789,0,0
2025-03-24,2025,13,3,1,5.6,4.179354838709678,21604.571428571428,43000,0.27325333333333335,31250,4435619,0,0
2025-03-31,2025,14,3,1,5.6,4.33741935483871,21465.428571428572,42904,0.27670666666666666,31032,4438395,1,2
2025-04-07,2025,15,4,2,5.9,4.398000000000001,21531.714285714286,42225,0.28052307692307693,30380,4441119,0,0
2025-04-14,2025,16,4,2,5.9,4.442333333333333,21676.428571428572,41450,0.2844,29662,4443689,0,0
2025-04-21,2025,17,4,2,5.9,4.486666666666666,21707.714285714286,40675,0.2882769230769231,28949,4446091,0,0
2025-04-28,2025,18,4,2,5.9,4.531,21832.571428571428,39899,0.29215384615384615,28243,4448326,0,0
2025-05-05,2025,19,5,2,5.9,4.531935483870968,21875.285714285714,39061,0.2960307692307692,27498,4450395,0,0
2025-05-12,2025,20,5,2,5.9,4.500322580645161,22044.0,38177,0.2999076923076923,26727,4452291,0,0
2025-05-19,2025,21,5,2,5.9,4.468709677419355,22046.0,37292,0.3037846153846154,25963,4454007,0,0
2025-05-26,2025,22,5,2,5.9,4.437096774193549,22082.571428571428,36407,0.3076615384615385,25206,4455545,0,0
2025-06-02,2025,23,6,2,5.9,4.3806666666666665,22334.714285714286,35477,0.31153846153846154,24425,4456907,0,0
2025-06-09,2025,24,6,2,5.9,4.175333333333334,22709.714285714286,34272,0.3154153846153846,23462,4458087,0,0
2025-06-16,2025,25,6,2,5.9,3.9699999999999998,22647.714285714286,33068,0.3192923076923077,22510,4459043,0,0
2025-06-23,2025,26,6,2,5.9,3.7646666666666664,22855.285714285714,31864,0.32316923076923076,21566,4459779,2,0
2025-06-30,2025,27,6,2,5.9,3.559333333333333,23008.285714285714,30659,0.3270461538461539,20632,4460297,0,0
2025-07-07,2025,28,7,3,6.1,3.439032258064516,22918.714285714286,29407,0.3313108695652174,19664,4460598,0,0
2025-07-14,2025,29,7,3,6.1,3.3329032258064517,22887.14285714286,28146,0.33564021739130434,18699,4460676,0,2
2025-07-21,2025,30,7,3,6.1,3.226774193548387,22701.714285714286,26886,0.3399695652173913,17745,4460530,0,0
2025-07-28,2025,31,7,3,6.1,3.1206451612903225,22928.428571428572,25625,0.34429891304347826,16803,4460165,0,0
2025-08-04,2025,32,8,3,6.1,2.9583870967741936,23036.14285714286,24912,0.3486282608695652,16227,4459583,0,0
2025-08-11,2025,33,8,3,6.1,2.721290322580645,23063.14285714286,24928,0.3529576086956522,16130,4458868,0,0
2025-08-18,2025,34,8,3,6.1,2.484193548387097,23149.285714285714,24944,0.35728695652173914,16032,4458132,0,0
2025-08-25,2025,35,8,3,6.1,2.2470967741935484,23326.428571428572,24961,0.3616163043478261,15935,4457374,0,0
2025-09-01,2025,36,9,3,6.1,2.01,23207.285714285714,24977,0.36594565217391306,15837,4456594,0,7
2025-09-08,2025,37,9,3,6.1,1.9376666666666664,23055.85714285714,25786,0.370275,16238,4455793,0,0
2025-09-15,2025,38,9,3,6.1,1.8653333333333333,23082.571428571428,26595,0.374604347826087,16633,4455084,0,0
2025-09-22,2025,39,9,3,6.1,1.793,23088.85714285714,27405,0.37893369565217394,17020,4454468,0,0
2025-09-29,2025,40,9,3,6.1,1.7206666666666666,23058.0,28214,0.3832630434782609,17400,4453941,0,0
2025-10-06,2025,41,10,4,6.0,1.6274193548387097,22805.714285714286,28868,0.38796195652173915,17668,4453503,0,0
2025-10-13,2025,42,10,4,6.0,1.5258064516129033,22793.0,29459,0.3928086956521739,17887,4453127,0,0
2025-10-20,2025,43,10,4,6.0,1.4241935483870969,22888.0,30051,0.3976554347826087,18101,4452802,0,0
2025-10-27,2025,44,10,4,6.0,1.3225806451612903,22920.85714285714,30642,0.4025021739130435,18309,4452527,0,0
2025-11-03,2025,45,11,4,6.0,1.2893333333333334,22517.0,31144,0.40734891304347826,18457,4452300,0,0
2025-11-10,2025,46,11,4,6.0,1.427,22423.14285714286,31420,0.412195652173913,18469,4452107,0,0
